Land,Aantal klikken,Vertoningen,CTR,Positie
Brunei,0,2,0%,73
Guam,0,1,0%,1
Mozambique,0,1,0%,1
Malawi,0,1,0%,1
Papoea-Nieuw-Guinea,0,1,0%,1
Niger,0,1,0%,2
Mali,0,1,0%,3
Guernsey,0,1,0%,4
St. Lucia,0,1,0%,4
Samoa,0,1,0%,4
Zimbabwe,0,1,0%,4
Burundi,0,1,0%,5
Tsjaad,0,1,0%,6
Saint Kitts en Nevis,0,1,0%,7
Zuid-Sudan,0,1,0%,7
Falklandeilanden,0,1,0%,8
Swaziland,0,1,0%,10
Martinique,0,1,0%,11
Faeröer,0,1,0%,12
Seychellen,0,1,0%,13
Tadzjikistan,0,1,0%,13
Vanuatu,0,1,0%,13
Puerto Rico,0,1,0%,18
Kameroen,0,1,0%,43
Bahrein,0,1,0%,64
Guinee,0,1,0%,65
